"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00200571","0003420453","調査品目の年平均価格－都道府県庁所在市及び人口15万以上の市（2000年～）","年次",0,"2024-04-20"
"00200571","0003421913","主要品目の都市別小売価格－都道府県庁所在市及び人口15万以上の市(2000年1月～)","月次",0,"2024-08-23"
"00200571","0003449368","全国統一価格品目の年平均価格－全国(2000年～)","年次",0,"2024-04-20"
"00200571","0003449369","全国統一価格品目の月別価格－全国(2000年2月～)","月次",0,"2024-08-30"
"00200571","0003441258","地域別価格差 10大費目別消費者物価地域差指数 （全国平均＝100）－全国，地方，都道府県，都道府県庁所在市及び政令指定都市（2013年～）","年次",0,"2024-06-28"
"00200571","0003441558","地域別価格差 調査品目の地域差指数算出用年平均価格－全国，地方，都道府県（2013年～2019年）","年次",0,"2024-04-20"
"00200571","0003441253","地域別価格差 調査品目の年平均価格－構造編88調査市（2013年～2019年）","年次",0,"2024-04-20"
"00200571","0003441254","（参考表） 10大費目別ウエイト－全国，地方，都道府県，都道府県庁所在市及び政令指定都市（2013年～）","年次",0,"2024-06-28"
"00200571","0003441260","店舗形態別価格（2021年をもって調査を中止） 調査品目の月別価格及び年平均価格－都道府県庁所在市（2013年～2021年）","年次",0,"2024-04-20"
"00200571","0003441255","銘柄別価格（2021年をもって調査を中止） 調査品目の月別価格及び年平均価格－東京都区部（2013年～2021年）","年次",0,"2024-04-20"
